identifier,book_id,page_number,ground_truth_label,predicted_label,prob_advertisement,prob_cover,prob_story,prob_textstory,prob_first-page,prob_credits,prob_art,prob_text,prob_back_cover
Spread 002_page_0,Spread 002,0,cover,cover,0.015,0.737,0.015,0.012,0.016,0.084,0.087,0.008,0.026
Spread 002_page_1,Spread 002,1,credits,credits,0.019,0.042,0.021,0.023,0.03,0.662,0.03,0.152,0.021
Spread 002_page_2,Spread 002,2,first-page,story,0.02,0.047,0.497,0.023,0.225,0.027,0.105,0.023,0.034
Spread 002_page_3,Spread 002,3,story,story,0.021,0.04,0.499,0.024,0.232,0.025,0.106,0.024,0.03
Spread 002_page_4,Spread 002,4,story,story,0.022,0.047,0.49,0.025,0.232,0.034,0.096,0.026,0.029
Spread 002_page_5,Spread 002,5,story,story,0.021,0.043,0.516,0.025,0.216,0.028,0.096,0.024,0.031
Spread 002_page_6,Spread 002,6,story,story,0.018,0.045,0.542,0.024,0.194,0.029,0.088,0.027,0.034
Spread 002_page_7,Spread 002,7,story,story,0.021,0.034,0.488,0.023,0.245,0.022,0.112,0.027,0.028
Spread 002_page_8,Spread 002,8,story,story,0.019,0.033,0.497,0.021,0.243,0.025,0.101,0.029,0.031
Spread 002_page_9,Spread 002,9,story,story,0.02,0.031,0.5,0.023,0.24,0.022,0.105,0.029,0.03
Spread 002_page_10,Spread 002,10,story,story,0.021,0.027,0.385,0.022,0.305,0.021,0.146,0.043,0.031
Spread 002_page_11,Spread 002,11,story,story,0.019,0.043,0.524,0.024,0.214,0.024,0.096,0.025,0.03
Spread 002_page_12,Spread 002,12,story,story,0.019,0.037,0.489,0.021,0.242,0.022,0.113,0.025,0.033
Spread 002_page_13,Spread 002,13,story,first-page,0.02,0.034,0.323,0.016,0.362,0.021,0.158,0.026,0.039
Spread 002_page_14,Spread 002,14,story,story,0.019,0.033,0.505,0.023,0.234,0.023,0.105,0.028,0.031
Spread 002_page_15,Spread 002,15,story,story,0.019,0.029,0.497,0.022,0.238,0.021,0.11,0.032,0.031
Spread 002_page_16,Spread 002,16,story,story,0.021,0.03,0.466,0.023,0.261,0.021,0.119,0.031,0.028
Spread 002_page_17,Spread 002,17,story,story,0.019,0.031,0.464,0.021,0.264,0.02,0.12,0.029,0.032
Spread 002_page_18,Spread 002,18,story,story,0.02,0.028,0.468,0.022,0.256,0.02,0.12,0.034,0.032
Spread 002_page_19,Spread 002,19,story,story,0.019,0.028,0.457,0.021,0.268,0.023,0.116,0.036,0.031
