identifier,book_id,page_number,ground_truth_label,predicted_label,prob_advertisement,prob_cover,prob_story,prob_textstory,prob_first-page,prob_credits,prob_art,prob_text,prob_back_cover
Spread 002_page_0,Spread 002,0,cover,cover,0.053,0.768,0.026,0.014,0.012,0.081,0.02,0.011,0.015
Spread 002_page_1,Spread 002,1,credits,credits,0.027,0.041,0.026,0.018,0.017,0.734,0.019,0.098,0.021
Spread 002_page_2,Spread 002,2,story,story,0.077,0.045,0.736,0.022,0.024,0.033,0.018,0.023,0.022
Spread 002_page_3,Spread 002,3,story,story,0.084,0.042,0.731,0.022,0.022,0.035,0.017,0.023,0.023
Spread 002_page_4,Spread 002,4,story,story,0.08,0.04,0.733,0.021,0.023,0.041,0.016,0.023,0.024
Spread 002_page_5,Spread 002,5,story,story,0.075,0.045,0.736,0.022,0.024,0.033,0.018,0.024,0.024
Spread 002_page_6,Spread 002,6,story,story,0.056,0.051,0.744,0.022,0.025,0.031,0.019,0.027,0.025
Spread 002_page_7,Spread 002,7,story,story,0.089,0.036,0.742,0.02,0.021,0.028,0.015,0.026,0.022
Spread 002_page_8,Spread 002,8,story,story,0.071,0.036,0.752,0.02,0.022,0.03,0.015,0.03,0.023
Spread 002_page_9,Spread 002,9,story,story,0.088,0.033,0.742,0.02,0.022,0.027,0.014,0.03,0.024
Spread 002_page_10,Spread 002,10,story,story,0.16,0.023,0.637,0.021,0.022,0.03,0.012,0.066,0.028
Spread 002_page_11,Spread 002,11,story,story,0.068,0.046,0.746,0.022,0.023,0.027,0.018,0.028,0.024
Spread 002_page_12,Spread 002,12,story,story,0.089,0.04,0.736,0.021,0.022,0.026,0.016,0.028,0.023
Spread 002_page_13,Spread 002,13,story,story,0.194,0.032,0.646,0.019,0.02,0.03,0.014,0.026,0.02
Spread 002_page_14,Spread 002,14,story,story,0.082,0.035,0.744,0.021,0.022,0.029,0.015,0.029,0.024
Spread 002_page_15,Spread 002,15,story,story,0.087,0.033,0.743,0.02,0.021,0.025,0.014,0.034,0.024
